StockCode,Description,ProductRevenue,ProductDemandFrequency
22693,Grow A Flytrap Or Sunflower In Tin,18798.98,281
22501,Picnic Basket Wicker Large,18794.25,497
48129,Door Mat Topiary,18752.76,488
85048,15Cm Christmas Glass Ball 20 Lights,18618.75,432
21622,Vintage Union Jack Cushion Cover,18495.47,550
21559,Strawberry Lunchbox With Cutlery,18469.04,951
22558,Clothes Pegs Retrospot Pack 24,18411.739999999998,1017
21213,Pack Of 72 Skull Cake Cases,18319.18,1156
22499,Wooden Union Jack Bunting,18251.280000000002,632
23206,Lunch Bag Apple Design,18220.5,866
21121,Set/10 Red Spotty Party Candles,18065.4,788
21908,Chocolate This Way Metal Sign,18041.24,801
22555,Plasters In Tin Strongman,18021.44,867
84949,Silver Hanging T-Light Holder,18001.35,612
21340,Classic Metal Birdcage Plant Holder,17888.71,383
22561,Wooden School Colouring Set,17861.219999999998,838
21174,Pottering In The Shed Metal Sign,17814.51,855
22456,Natural Slate Chalkboard Large,17637.16,595
23344,Jumbo Bag 50'S Christmas,17636.04,586
22427,Enamel Flower Jug Cream,17471.23,702
79323W,White Cherry Lights,17384.8,313
22061,Large Cake Stand  Hanging Strawbery,17354.85,443
22147,Feltcraft Butterfly Hearts,17238.05,1026
84947,Antique Silver Tea Glass Engraved,17162.93,559
22847,"Bread Bin, Diner Style, Ivory",17018.54,445
22381,Toy Tidy Pink Retrospot,16980.58,791
21479,White Skull Hot Water Bottle,16917.32,738
21136,Painted Metal Pears Assorted,16907.51,714
22633,Hand Warmer Union Jack,16857.36,790
22560,Traditional Modelling Clay,16851.64,655
84945,Multi Colour Silver T-Light Holder,16833.35,585
47591D,Pink Fairy Cake Child'S Apron,16736.52,1034
22169,Family Album White Picture Frame,16676.94,570
22505,Memo Board Cottage Design,16599.89,655
21218,Red Spotty Biscuit Tin,16431.45,588
23240,Set Of 4 Knick Knack Tins Doiley,16394.899999999998,485
84992,72 Sweetheart Fairy Cake Cases,16178.47,1176
21156,Red Spotty Childs Apron,16044.97,797
21216,"Set 3 Red Spot Tin Tea,Coffee,Sugar",15981.77,522
21035,Set/2 Red Spotty Tea Towels,15895.86,619
21164,Home Sweet Home Metal Sign,15888.490000000002,630
22352,Lunchbox With Cutlery Retrospot,15883.390000000001,836
21535,Retro Spot Small Milk Jug,15877.2,956
22297,Heart Ivory Trellis Small,15836.59,646
22191,Eau De Nil Diner Wall Clock,15764.1,592
22424,Enamel Bread Bin Cream,15621.65,559
22557,Plasters In Tin Vintage Paisley,15614.589999999998,991
22900,Set 2 Tea Towels I Love London,15566.6,507
71053,White Metal Lantern,15508.81,595
22355,"Charlotte Bag , Suki Design",15502.35,1191
21877,Home Sweet Home Mug,15399.56,650
22690,Doormat Home Sweet Home Blue,15329.57,401
22662,Lunch Bag Dolly Girl Design,15305.19,872
84970L,Single Heart Zinc T-Light Holder,15241.51,821
22296,Heart Ivory Trellis Large,15218.079999999998,739
72760B,Vintage Cream 3 Basket Cake Stand,15172.6,444
21533,Retro Spot Large Milk Jug,15154.45,845
22041,"Record Frame 7"" Single Size",15088.77,319
20719,Woodland Charlotte Bag,15030.64,1062
22634,Childs Breakfast Set Spaceboy,15021.4,464
22333,Retro Sport Party Bag + Sticker Set,15014.779999999999,597
22952,72 Cake Cases Vintage Christmas,14997.359999999999,904
22193,Red Diner Wall Clock,14986.09,555
22366,Doormat Airmail,14935.06,434
22652,Travel Sewing Kit,14859.81,716
21975,Pack Of 60 Dinosaur Cake Cases,14818.01,1133
22635,Childs Breakfast Set Dolly Girl,14787.949999999999,450
21430,Set/3 Red Gingham Rose Storage Box,14719.35,578
22776,Sweetheart Cakestand 3 Tier,14710.0,595
21914,Blue Harmonica In Box,14667.47,815
22170,Picture Frame Wood Triple Portrait,14658.65,510
17003,Brocade Ring Purse,14640.96,387
21122,Set/10 Pink Spotty Party Candles,14615.49,739
21891,Traditional Wooden Skipping Rope,14603.13,664
82582,Area Patrolled Metal Sign,14563.1,696
84375,Set Of 20 Kids Cookie Cutters,14558.970000000001,626
21889,Wooden Box Of Dominoes,14430.66,869
22837,Hot Water Bottle Babushka,14425.25,368
21258,Victorian Sewing Box Large,14406.63,344
20718,Red Spotty Shopper Bag,14359.26,866
22367,Childs Apron Spaceboy Design,14294.64,1003
21844,Retro Spot Mug,14293.85,422
22487,White Wood Garden Plant Ladder,14256.96,808
22993,Set Of 4 Pantry Jelly Moulds,14151.42,866
22759,Set Of 3 Notebooks In Parcel,14138.399999999998,634
21484,Chick Grey Hot Water Bottle,14071.27,676
21165,Beware Of The Cat Metal Sign,14070.08,779
22619,Set Of 6 Soldier Skittles,14010.85,577
85232B,Set/3 Russian Doll Stacking Tins,13949.800000000001,441
21770,Open Closed Metal Sign,13926.810000000001,580
84378,Set Of 3 Heart Cookie Cutters,13862.84,944
21380,Wooden Happy Birthday Garland,13770.150000000001,540
22365,Doormat Respectable House,13762.55,348
22150,3 Stripey Mice Feltcraft,13756.75,829
22606,Wooden Skittles Garden Set,13722.74,337
35004C,Set Of 3 Coloured  Flying Ducks,13577.15,229
22940,Feltcraft Christmas Fairy,13462.18,547
21169,You'Re Confusing Me Metal Sign,13438.58,621
22667,Recipe Box Retro Spot Design,13376.150000000001,820
47556B,Tea Time Tea Towels,13363.35,408
22356,"Charlotte Bag , Pink/White Spots",13323.29,1108
84050,Pink Heart Shape Egg Frying Pan,13316.63,557
22271,Feltcraft Doll Rosie,13244.460000000001,691
79323P,Pink Cherry Lights,13198.1,229
22295,Heart Filigree Dove Large,13184.069999999998,620
22692,Doormat Welcome To Our Home,13103.81,460
21094,Set/6 Red Spotty Paper Plates,13068.56,692
23200,Jumbo Bag Pears,13034.92,470
23108,Set Of 10 Led Dolly Lights,12972.73,351
23313,Vintage Christmas Bunting,12960.12,359
23356,Love Hot Water Bottle,12954.75,449
22236,Cake Stand 3 Tier Magic Garden,12951.9,391
22730,Alarm Clock Bakelike Ivory,12951.5,616
22804,Candleholder Pink Hanging Heart,12876.880000000001,587
21390,Filigris Heart With Butterfly,12849.14,482
22173,Metal 4 Hook Hanger French Chateau,12846.140000000001,714
35970,Zinc Folkart Sleigh Bells,12806.27,545
15044A,Pink Paper Parasol,12803.78,194
22621,Traditional Knitting Nancy,12780.57,719
21704,Bag 250G Swirly Marbles,12750.539999999999,464
22636,Childs Breakfast Set Circus Parade,12716.380000000001,460
22946,Wooden Advent Calendar Cream,12588.449999999999,208
22655,Vintage Red Kitchen Cabinet,12550.0,52
C2,Carriage,12546.0,248
21871,Save The Planet Mug,12515.44,600
23301,Gardeners Kneeling Pad Keep Calm,12463.779999999999,756
62018,Sombrero,12413.8,123
21259,Victorian Sewing Box Small,12409.960000000001,553
22749,Feltcraft Princess Charlotte Doll,12407.83,621
21672,White Spot Red Ceramic Drawer Knob,12354.22,625
22766,Photo Frame Cornice,12280.18,580
21155,Red Spotty Peg Bag,12240.67,724
22584,Pack Of 6 Pannetone Gift Boxes,12239.390000000001,512
22627,Mint Kitchen Scales,12219.99,558
22303,Coffee Mug Apples Design,12179.95,480
75049L,Large Circular Mirror Mobile,12173.5,230
21912,Vintage Snakes & Ladders,12157.97,615
22485,Set Of 2 Wooden Market Crates,12146.25,341
22909,Set Of 20 Vintage Christmas Napkins,12124.119999999999,889
21669,Blue Stripe Ceramic Drawer Knob,12115.21,639
21539,Retro Spots Butter Dish,12091.050000000001,585
85042,Antique Lily Fairy Lights,12081.0,281
21124,Set/10 Blue Spotty Party Candles,12052.47,599
23207,Lunch Bag Alphabet Design,11994.41,647
22846,Bread Bin Diner Style Red,11929.91,311
22553,Plasters In Tin Skulls,11913.749999999998,905
DOT,Dotcom Postage,11906.36,16
21888,Bingo Set,11877.45,626
15056P,Edwardian Parasol Pink,11872.810000000001,321
22838,3 Tier Cake Tin Red And Cream,11850.78,228
84380,Set Of 3 Butterfly Cookie Cutters,11818.65,814
84212,"Assorted Flower Colour ""Leis""",11759.77,258
20723,Strawberry Charlotte Bag,11654.8,988
23077,Doughnut Lip Gloss,11615.7,308
22654,Deluxe Sewing Kit,11611.27,440
23174,Regency Sugar Bowl Green,11567.24,268
22464,Hanging Metal Heart Lantern,11530.56,645
22179,Set 10 Lights Night Owl,11501.14,401
22243,"Hook, 5 Hanger ,Magic Toadstool Red",11476.8,321
21668,Red Stripe Ceramic Drawer Knob,11446.75,614
21787,Rain Poncho With Red Spots,11385.18,350
22192,Blue Diner Wall Clock,11358.78,511
47567B,Tea Time Kitchen Apron,11321.320000000002,320
22207,Frying Pan Union Flag,11283.86,324
22646,Ceramic Strawberry Cake Money Bank,11187.26,697
22950,36 Doilies Vintage Christmas,11186.949999999999,307
22082,Ribbon Reel Stripes Design,11166.78,819
20969,Red Floral Feltcraft Shoulder Bag,11155.41,518
22623,Box Of Vintage Jigsaw Blocks,11129.42,500
20975,12 Pencils Small Tube Red Spotty,11109.7,763
22750,Feltcraft Princess Lola Doll,11094.51,597
21906,Pharmacie First Aid Tin,11093.9,311
22088,Paper Bunting Coloured Lace,11086.900000000001,478
21673,White Spot Blue Ceramic Drawer Knob,11022.43,563
84987,Set Of 36 Teatime Paper Doilies,11012.88,642
22444,Grow Your Own Plant In A Can,10976.56,328
20676,Red Spotty Bowl,10973.06,720
22151,Place Setting White Heart,10910.31,645
47599A,Pink Party Bags,10841.48,325
22301,Coffee Mug Cat + Bird Design,10831.29,466
21498,Red Spots  Wrap,10829.24,799
22631,Circus Parade Lunchbox,10793.779999999999,469
72351B,Set/6 Pink  Butterfly T-Lights,10779.640000000001,426
21671,Red Spot Ceramic Drawer Knob,10762.47,568
84988,Set Of 72 Pink Heart Paper Doilies,10729.4,618
35400,Wooden Box Advent Calendar,10710.1,331
21260,First Aid Tin,10675.6,442
21428,Set3 Book Box Green Gingham Flower,10667.05,363
22649,Strawberry Fairy Cake Teapot,10657.15,414
21937,Strawberry   Picnic Bag,10572.95,499
22198,"Popcorn Holder , Large",10530.699999999999,478
22616,Pack Of 12 London Tissues,10519.359999999999,633
22417,Pack Of 60 Spaceboy Cake Cases,10465.49,911
22943,Christmas Lights 10 Vintage Baubles,10432.08,286
22988,Soldiers Egg Cup,10415.22,349
21172,Party Metal Sign,10392.72,804
22740,Polka Dot Pen,10378.429999999998,205
22637,Piggy Bank Retrospot,10377.02,496
21868,Potting Shed Tea Mug,10353.86,719
21326,Aged Glass Silver T-Light Holder,10338.6,532
22580,Advent Calendar Gingham Sack,10338.230000000001,388
21749,Large Red Spot Windmill,10331.4,215
21242,Red Spotty Plate,10326.43,519
22109,Full English Breakfast Plate,10321.92,389
22768,Family Photo Frame Cornice,10310.19,320
21907,I'M On Holiday Metal Sign,10306.150000000001,694
22729,Alarm Clock Bakelike Orange,10300.44,500
22488,Natural Slate Rectangle Chalkboard,10285.609999999999,653
22508,Doorstop Retrospot Heart,10283.5,577
22468,Babushka Lights String Of 10,10229.64,335
22274,Feltcraft Doll Emily,10227.310000000001,578
22663,Jumbo Bag Dolly Girl Design,10206.78,526
23170,Regency Tea Plate Roses,10170.99,328
22302,Coffee Mug Pears  Design,10043.41,352
21624,Vintage Union Jack Doorstop,9987.98,350
22791,T-Light Glass Fluted Antique,9985.630000000001,332
22834,Hand Warmer Babushka Design,9962.630000000001,484
20828,Glitter Butterfly Clips,9951.0,499
23208,Lunch Bag Vintage Leaf Design,9950.35,597
23300,Gardeners Kneeling Pad Cup Of Tea,9933.689999999999,635
21429,Red Gingham Rose Jewellery Box,9907.5,764
22418,10 Colour Spaceboy Pen,9898.5,473
21670,Blue Spot Ceramic Drawer Knob,9894.93,580
22595,Christmas Gingham Heart,9817.66,640
21833,Camouflage Led Torch,9797.310000000001,337
82001S,Vinyl Record Frame Silver,9787.06,196
21982,Pack Of 12 Suki Tissues,9774.279999999999,521
22620,4 Traditional Spinning Tops,9763.68,654
23343,Jumbo Bag Vintage Christmas,9742.1,385
22348,Tea Bag Plate Red Spotty,9667.21,690
23076,Ice Cream Sundae Lip Gloss,9638.16,248
22840,Round Cake Tin Vintage Red,9632.68,377
21922,Union Stripe With Fringe  Hammock,9624.04,330
22970,London Bus Coffee Mug,9582.150000000001,276
21257,Victorian Sewing Box Medium,9550.49,360
21086,Set/6 Red Spotty Paper Cups,9513.300000000001,621
16014,Small Chinese Style Scissor,9512.68,92
22966,Gingerbread Man Cookie Cutter,9497.91,610
22795,Sweetheart Recipe Book Stand,9465.55,402
22968,Rose Cottage Keepsake Box,9409.199999999999,243
21974,Set Of 36 Paisley Flower Doilies,9374.96,557
20829,Glitter Hanging Butterfly String,9350.390000000001,404
21890,S/6 Wooden Skittles In Cotton Bag,9347.16,411
20979,36 Pencils Tube Red Spotty,9332.73,518
20754,Retro Red Spotty Washing Up Gloves,9329.220000000001,679
84792,Enchanted Bird Coathanger 5 Hook,9326.33,437
22064,Pink Doughnut Trinket Pot,9302.099999999999,479
22656,Vintage Blue Kitchen Cabinet,9290.0,37
22120,Welcome  Wooden Block Letters,9289.2,316
22668,Pink Baby Bunting,9236.86,381
21558,Skull Lunchbox With Cutlery,9236.1,532
84880,White Wire Egg Holder,9227.800000000001,327
21531,Retro Spot Sugar Jam Bowl,9213.75,612
23171,Regency Tea Plate Green,9184.9,270
22978,Pantry Rolling Pin,9180.529999999999,197
21756,Bath Building Block Word,9164.78,519
20682,Red Spotty Childs Umbrella,9134.66,478
22694,Wicker Star,9115.800000000001,720
22904,Calendar Paper Cut Design,9110.29,398
22466,Fairy Tale Cottage Nightlight,9106.8,308
82552,Washroom Metal Sign,9080.01,654
22349,"Dog Bowl , Chasing Ball Design",9052.75,318
22380,Toy Tidy Spaceboy,9044.0,549
22767,Triple Photo Frame Cornice,9035.63,279
22300,Coffee Mug Dog + Ball Design,9021.390000000001,411
23175,Regency Milk Jug Pink,8995.0,272
21745,Gaolers Keys Decorative Garden,8980.54,460
21735,Two Door Curio Cabinet,8960.1,202
22992,Revolver Wooden Ruler,8944.439999999999,285
22942,Christmas Lights 10 Santas,8912.95,217
22180,Retro Spot Lamp,8868.1,358
22429,Enamel Measuring Jug Cream,8867.29,526
47570B,Tea Time Table Cloth,8852.880000000001,188
22131,Food Container Set 3 Love Heart,8846.17,496
22089,Paper Bunting Vintage Paisley,8842.150000000001,421
21892,Traditional Wooden Catch Cup Game,8814.42,601
22549,Picture Dominoes,8813.74,540
20970,Pink Floral Feltcraft Shoulder Bag,8796.77,504
22144,Christmas Craft Little Friends,8790.7,535
22741,Funky Diva Pen,8672.109999999999,196
21781,Ma Campagne Cutlery Box,8609.25,314
22844,Vintage Cream Dog Food Container,8515.99,366
23582,Vintage Doily Jumbo Bag Red,8508.220000000001,234
23581,Jumbo Bag Paisley Park,8498.04,302
22947,Wooden Advent Calendar Red,8459.95,162
21980,Pack Of 12 Red Spotty Tissues,8456.279999999999,569
21985,Pack Of 12 Hearts Design Tissues,8441.64,734
79000,Moroccan Tea Glass,8407.609999999999,333
22725,Alarm Clock Bakelike Chocolate,8367.84,419
23318,Box Of 6 Mini Vintage Crackers,8345.43,329
22121,Noel Wooden Block Letters,8343.19,386
21385,Ivory Hanging Decoration  Heart,8324.58,505
79323LP,Light Pink Cherry Lights,8311.0,159
22989,Set 2 Pantry Design Tea Towels,8310.17,311
51008,Afghan Slipper Sock Pair,8251.15,72
35961,Folkart Zinc Heart Christmas Dec,8229.67,397
21243,Pink  Spotty Plate,8224.59,395
22244,"Hook, 3 Hanger ,Magic Garden",8205.3,281
84839,Sweetheart Key Cabinet,8201.7,351
84030E,English Rose Hot Water Bottle,8191.91,408
21154,Red Spotty Oven Glove,8179.32,593
23319,Box Of 6 Mini 50'S Crackers,8169.4800000000005,365
22812,Pack 3 Boxes Christmas Pannetone,8162.2699999999995,351
21135,Victorian  Metal Postcard Spring,8155.09,380
23322,Large White Heart Of Wicker,8137.500000000001,511
23256,Childrens Cutlery Spaceboy,8115.4800000000005,324
23082,Set 6 Paper Table Lantern Hearts,8110.68,263
22895,Set Of 2 Tea Towels Apple And Pears,8091.740000000001,354
23078,Ice Cream Pen Lip Gloss,8077.31,213
84508A,Camoflage Design Teddy,8073.75,104
20974,12 Pencils Small Tube Skull,8049.150000000001,684
21777,Recipe Box With Metal Heart,8046.150000000001,312
22357,Kings Choice Biscuit Tin,8044.09,316
21933,Pink Vintage Paisley Picnic Bag,8034.86,469
20677,Pink Spotty Bowl,8030.2300000000005,545
22215,Cake Stand White Two Tier Lace,8007.3,319
22751,Feltcraft Princess Olivia Doll,7965.29,414
21769,Vintage Post Office Cabinet,7954.87,48
22771,Clear Drawer Knob Acrylic Edwardian,7947.11,383
23080,Red Metal Box Top Secret,7920.78,221
21488,Red White Scarf  Hot Water Bottle,7914.150000000001,301
21935,Suki  Shoulder Bag,7898.07,452
37370,Retro Coffee Mugs Assorted,7897.5,344
21042,Red Spotty Apron,7848.450000000001,336
21381,Mini Wooden Happy Birthday Garland,7845.81,376
21588,Retro Spot Giant  Tube Matches,7748.55,284
21716,Boys Vintage Tin Seaside Bucket,7744.58,306
22078,Ribbon Reel Lace Design,7739.6,385
21186,White Dove Honeycomb Paper Garland,7729.049999999999,274
22079,Ribbon Reel Hearts Design,7670.64,542
21658,Glass  Beurre Dish,7590.450000000001,345
23439,Hand Warmer Red Love Heart,7574.1,371
21715,Girls Vintage Tin Seaside Bucket,7566.87,317
21098,Christmas Toilet Roll,7534.29,412
